date,wind_onshore_mwh,solar_mwh,wind_onshore_cf,solar_cf
2018-04-19,154453.11,214704.12,0.12243025302007038,0.1975838726064006
2018-04-20,157400.62,212930.73,0.12476665398395637,0.19595189058462356
2018-04-21,74326.97,209629.34,0.05891671422683027,0.19291374943864065
2018-04-22,122382.83,198863.05,0.0970091236247186,0.18300595040896406
2018-04-23,326119.67,139123.13,0.258505081010812,0.1280296195272066
2018-04-24,298681.01,143630.41,0.23675529503154824,0.13217749446002755
2018-04-25,461438.71,138376.68,0.3657683423697644,0.12734269054928551
2018-04-26,375262.4,138164.32,0.29745901899235866,0.12714726387937952
2018-04-27,134967.1,207000.68,0.10698428929262184,0.1904946956144032
2018-04-28,163763.47,179481.64,0.12981029043406575,0.16516999065014615
2018-04-29,149407.53,189290.63,0.11843077618187006,0.17419682362641814
2018-04-30,522773.3,152140.79,0.41438639462253085,0.1400092670303539
2018-05-01,530122.68,150811.38,0.4202120232093599,0.1387858625792345
2018-05-02,146780.48,159091.67,0.11634839405180888,0.14640589224845582
2018-05-03,161860.14,169963.07,0.12830157899743178,0.15641041993359395
2018-05-04,145111.05,201163.42,0.11502508798630266,0.18512289168157492
2018-05-05,201293.19,224222.99,0.15955895082279084,0.20634371940131485
2018-05-06,206374.42,240062.58,0.16358668632486764,0.2209202796121651
2018-05-07,204576.23,237292.28,0.1621613161482609,0.21837087999057653
2018-05-08,253815.35,238166.55,0.20119165953264212,0.21917543675596882
2018-05-09,178804.27,210587.44,0.14173267224705918,0.1937954517010108
2018-05-10,210762.66,145563.7,0.16706510986397793,0.13395662624879448
2018-05-11,62561.61,163816.49,0.04959067345191667,0.15075396080423467
2018-05-12,106180.65,203374.92,0.08416615143156092,0.18715804934072489
2018-05-13,265434.06,177027.06,0.21040145534100638,0.16291113589681294
2018-05-14,304944.14,177328.14,0.24171988648974288,0.16318820814099874
2018-05-15,183676.51,172225.98,0.145594747772599,0.15849288822139276
2018-05-16,169325.46,117516.69,0.13421910967373726,0.10814605097510878
2018-05-17,316044.81,149814.25,0.2505190478455246,0.13786824252195742
2018-05-18,107170.59,172259.17,0.0849508465709122,0.15852343169085115
2018-05-19,47870.94,185533.04,0.037945828973651674,0.17073885931782878
2018-05-20,218416.84,199533.03,0.17313234408193032,0.18362250701239038
2018-05-21,325367.87,239094.89,0.2579091521608168,0.22002975204482042
2018-05-22,142832.08,203841.05,0.11321861821871333,0.18758701069711625
2018-05-23,205149.75,182318.17,0.16261592789879198,0.16778033917147045
2018-05-24,291765.05,145518.18,0.23127322521322805,0.1339147359586545
2018-05-25,190444.58,199385.27,0.15095958971432194,0.18348652921645278
2018-05-26,97875.06,227362.3,0.07758256444402169,0.20923270461087673
2018-05-27,123161.7,190110.47,0.09762651003519451,0.1749512905743166
2018-05-28,139969.89,224538.83,0.11094984780747646,0.20663437470091509
2018-05-29,225924.53,200796.55,0.17908346016043628,0.18478527545258444
2018-05-30,84834.64,207888.19,0.06724582263229652,0.19131143663817538
2018-05-31,86581.54,206327.46,0.06863053679571324,0.18987515736466637
2018-06-01,119765.03,163159.83,0.09493407368654681,0.1501496620800848
2018-06-02,97391.15,152742.29,0.07719898379783759,0.1405628041463289
2018-06-03,38502.2,189934.06,0.030519515520466722,0.17478894729480016
2018-06-04,85855.26,207766.85,0.06805483686863882,0.19119977214332518
2018-06-05,84611.11,196508.32,0.06706863724277878,0.18083898373714397
2018-06-06,188313.12,231182.8,0.14927004660896034,0.21274856255199476
2018-06-07,127558.33,199982.81,0.10111158407051588,0.1840364220980483
2018-06-08,72313.41,194023.52,0.05732062684295634,0.178552318690137
2018-06-09,75681.99,189762.12,0.059990797108342056,0.1746307175828787
2018-06-10,79738.65,175200.84,0.06320638732997241,0.1612305364754732
2018-06-11,129957.31,167586.58,0.10301318209201306,0.15422342837791078
2018-06-12,153250.49,120458.5,0.12147697295412029,0.11085328459629981
2018-06-13,168365.73,88196.16,0.13345836107676212,0.08116350464915963
2018-06-14,132563.91,187081.15,0.10507935413297823,0.17216352489490616
2018-06-15,31826.4,182466.55,0.025227813183677353,0.16791688752935632
2018-06-16,60151.66,193725.45,0.04768037984717334,0.17827801643218413
2018-06-17,169337.25,170783.09,0.13422845524588606,0.15716505252850968
2018-06-18,142094.0,165767.2,0.11263356479279622,0.15254912354322653
2018-06-19,170751.41,151095.26,0.13534941659532643,0.1390471063306609
2018-06-20,115822.62,214211.46,0.09180904594311803,0.19713049672018906
2018-06-21,424748.98,180486.62,0.3366855163448429,0.16609483475789769
2018-06-22,476077.39,160139.39,0.377371975966264,0.147370068320192
2018-06-23,397435.16,148879.48,0.3150346872126573,0.13700800995354523
2018-06-24,166424.95,129456.28,0.1319199641713434,0.1191335924788892
2018-06-25,130868.46,158804.59,0.10373542280985447,0.1461417036611672
2018-06-26,68865.59,171862.61,0.054587645454833696,0.1581584929066266
2018-06-27,131823.4,215542.11,0.10449237452043501,0.19835504229520506
2018-06-28,199524.1,161106.62,0.15815664732553347,0.14826017256738153
2018-06-29,164655.53,211242.4,0.13051739909318621,0.19439818598110886
2018-06-30,215984.97,243975.93,0.17120467516408255,0.2245215838063476
2018-07-01,258253.59,254952.99,0.2047097165414249,0.23462334629061113
2018-07-02,141317.31,255907.66,0.11201790640159802,0.23550189205704147
2018-07-03,70989.93,240185.93,0.05627154475411395,0.22103379383204128
2018-07-04,35653.23,199730.31,0.028261224198611247,0.1838040561432957
2018-07-05,106943.69,168818.49,0.08477098988553854,0.15535710736135344
2018-07-06,227334.54,156493.01,0.18020113193189385,0.14401444626042656
2018-07-07,239884.83,235716.72,0.19014936269380767,0.2169209532433686
2018-07-08,145348.91,227865.18,0.11521363232822855,0.20969548556662324
2018-07-09,212334.82,191709.67,0.1683113129775833,0.17642297229645665
2018-07-10,134062.12,123102.82,0.10626693934493801,0.11328674971103798
2018-07-11,87469.47,131060.23,0.06933437173023875,0.12060964544176218
2018-07-12,128382.89,162754.07,0.10176518754557849,0.14977625689275645
2018-07-13,118922.14,217336.56,0.09426594058150227,0.2000064050180003
2018-07-14,79646.84,208354.81,0.06313361235295982,0.1917408489225582
2018-07-15,55833.21,207237.92,0.044257276705031864,0.1907130183831379
2018-07-16,46366.92,208620.11,0.03675363835251593,0.1919849942207596
2018-07-17,101402.85,205003.95,0.08037893560353848,0.18865718245466795
2018-07-18,204517.39,214799.56,0.16211467548115033,0.19767170233599105
2018-07-19,114809.45,223251.37,0.09100593709375693,0.20544957520742688
2018-07-20,68653.46,210837.54,0.054419496496401286,0.19402560902886676
2018-07-21,74597.64,125246.97,0.05913126605155522,0.11525992777790048
2018-07-22,69266.89,137057.92,0.054905743682424936,0.12612908688002003
2018-07-23,40934.22,199759.38,0.032447303338723484,0.18383080813658148
2018-07-24,27008.87,226393.44,0.021409104600653157,0.20834110033791992
2018-07-25,64607.28,207313.99,0.05121221345001427,0.19078302265314986
2018-07-26,114480.04,221496.19,0.09074482386886078,0.2038343511422282
2018-07-27,175711.8,208775.63,0.13928136592789878,0.19212811324366308
2018-07-28,194716.81,167283.73,0.1543460556770982,0.15394472727138872
2018-07-29,103482.34,200722.1,0.08202728368052252,0.1847167620057277
2018-07-30,69708.55,206805.54,0.05525583404673579,0.19031511584248073
2018-07-31,123000.43,206148.22,0.09749867624211293,0.18971020974593428
2018-08-01,94685.08,180668.41,0.07505396493230604,0.16626212904270748
2018-08-02,77158.48,193573.56,0.061161165541076125,0.17813823795746184
2018-08-03,62725.69,212874.01,0.04972073464599385,0.19589969336896584
2018-08-04,95323.76,189618.42,0.07556022702051428,0.17449847604744131
2018-08-05,165627.53,194645.61,0.131287873743619,0.1791248039843629
2018-08-06,65120.69,223134.12,0.051619177843305115,0.20534167458091304
2018-08-07,126034.47,190356.94,0.0999036668886141,0.17517810735399136
2018-08-08,237377.53,168406.01,0.18816190272361202,0.15497751801871443
2018-08-09,222142.92,179232.89,0.1760858936554742,0.16494107567491958
2018-08-10,372037.29,149485.62,0.2949025730048511,0.1375658170815204
2018-08-11,337295.14,182027.61,0.2673635340372238,0.16751294807518163
2018-08-12,87888.57,211539.59,0.0696665794730334,0.19467167840919966
2018-08-13,152981.0,128154.71,0.12126335647927962,0.11793580809977104
2018-08-14,267768.31,134884.27,0.2122517438726656,0.12412876110755276
2018-08-15,95492.78,141405.73,0.0756942040013951,0.13013020775817008
2018-08-16,96012.52,212181.85,0.07610618599194648,0.1952627253719696
2018-08-17,109941.29,179523.94,0.0871470956593424,0.16520891769919974
2018-08-18,97655.2,187337.92,0.07740828815117791,0.17239982036501242
2018-08-19,112489.93,199351.84,0.08916732458226323,0.18345576488430476
2018-08-20,154992.78,143940.22,0.12285803291163322,0.13246260058454992
2018-08-21,32414.08,170973.5,0.025693649132819685,0.15734027946492332
2018-08-22,77145.4,198618.14,0.061150797425409804,0.1827805692367722
2018-08-23,106776.13,159849.32,0.08463817020197216,0.14710312815189464
2018-08-24,255620.16,107505.56,0.2026222771806335,0.09893319639846573
2018-08-25,247073.68,95832.34,0.19584774406290623,0.08819078487237818
2018-08-26,157710.92,184657.11,0.12501261929674373,0.16993277491883294
2018-08-27,430910.52,120190.32,0.341569580519357,0.1106064889458224
2018-08-28,82186.9,165820.47,0.06514704017248485,0.15259814585772025
2018-08-29,151650.29,176846.11,0.12020854339072261,0.16274461463141696
2018-08-30,279132.29,81354.1,0.22125962300643645,0.07486702225559703
2018-08-31,130959.29,102936.34,0.10380742097086147,0.09472832048648688
2018-09-01,87813.54,122946.83,0.06960710548844287,0.11314319816536726
2018-09-02,160088.28,78351.54,0.12689707980595452,0.07210388276608432
2018-09-03,136631.68,96631.33,0.1083037509115698,0.08892606437411195
2018-09-04,72178.61,136833.46,0.05721377500871937,0.12592252504951004
2018-09-05,65230.1,167216.67,0.05170590380164241,0.15388301455485126
2018-09-06,105013.02,139788.04,0.08324060686768762,0.12864151040631375
2018-09-07,162747.06,101359.86,0.12900461333586988,0.09327754709896857
2018-09-08,204871.59,172324.6,0.1623954389803101,0.15858364438162129
2018-09-09,88361.28,162770.32,0.07004128222201084,0.14979121113736923
2018-09-10,129772.4,135476.84,0.10286660959447033,0.12467408029094978
2018-09-11,332618.08,161183.47,0.26365617172389744,0.14833089464113494
2018-09-12,170657.49,152380.96,0.13527496908589365,0.1402302861644249
2018-09-13,33979.94,88449.53,0.026934858429246332,0.08139667123116225
2018-09-14,58604.69,107452.24,0.046454144075588955,0.09888412807091165
2018-09-15,181213.04,131402.39,0.14364203050191826,0.12092452201632913
2018-09-16,90512.75,170229.73,0.07174668664193538,0.15665581678703686
2018-09-17,83631.82,168759.81,0.06629238403246775,0.15530310643373016
2018-09-18,262960.83,169761.06,0.20844100161704557,0.15622451796717982
2018-09-19,238830.58,153389.77,0.18931369098576364,0.14115865487259902
2018-09-20,248132.07,154818.0,0.19668669742223913,0.14247299953618836
2018-09-21,625712.45,92533.18,0.49598310821522557,0.08515469590888677
2018-09-22,474980.66,110856.61,0.37650263166238623,0.1020170377159853
2018-09-23,281790.53,49854.2,0.22336672849487937,0.04587888626307691
2018-09-24,510963.14,129991.46,0.4050248422587907,0.11962609787161989
2018-09-25,145326.02,159767.44,0.11519548812581248,0.14702777716427032
2018-09-26,379081.77,147333.66,0.3004865166936174,0.13558545177463172
2018-09-27,227587.47,156344.61,0.180401621801579,0.1438778794973165
2018-09-28,281143.13,121634.71,0.22285355432956022,0.11193570503051586
2018-09-29,138657.2,159788.95,0.1099093186213894,0.1470475719828316
2018-09-30,141369.8,161776.96,0.11205951361806017,0.14887706046484234
2018-10-01,233218.49,75597.16,0.1848651590094803,0.06956913370291024
2018-10-02,576727.32,54396.68,0.4571540949300865,0.050059154390382166
2018-10-03,548884.87,86397.98,0.4350842369764419,0.07950870935206249
2018-10-04,159645.59,111541.94,0.12654617299216842,0.10264772032893817
2018-10-05,175513.03,155447.62,0.13912380703256286,0.1430524143973025
2018-10-06,149755.79,125512.81,0.11870683122483275,0.11550457001715367
2018-10-07,186993.19,92355.88,0.1482237784964647,0.08499153359689615
2018-10-08,99614.52,115622.45,0.07896138114715115,0.1064028553864729
2018-10-09,91529.17,106830.46,0.0725523716668252,0.0983119280576599
2018-10-10,203537.37,130784.69,0.16133784362218206,0.12035607666880167
2018-10-11,310518.65,131277.91,0.24613862995022037,0.1208099679012891
2018-10-12,243538.41,134689.72,0.19304544373632646,0.12394972428974241
2018-10-13,257931.35,137479.99,0.20445428675607977,0.1265175015276336
2018-10-14,334368.65,137181.6,0.2650437949839881,0.12624290478609448
2018-10-15,156185.9,124257.05,0.12380378261834554,0.11434894280392546
2018-10-16,36276.24,107713.92,0.02875506515742414,0.09912494202354397
2018-10-17,38023.93,116357.58,0.030140405529661688,0.10707936700753141
2018-10-18,115162.31,85121.45,0.09128563841592949,0.07833396831356612
2018-10-19,54148.56,86524.96,0.042921906211357365,0.07962556412011985
2018-10-20,82851.54,87083.68,0.06567387995814705,0.08013973246166191
2018-10-21,82831.9,103548.94,0.0656583119312597,0.09529207250185893
2018-10-22,222315.11,81012.8,0.1762223833983322,0.07455293710566807
2018-10-23,734550.49,28384.46,0.582255691366245,0.026121117417967916
2018-10-24,588124.26,38416.06,0.46618810044706555,0.03535280974151703
2018-10-25,511833.95,36654.53,0.40571510669330035,0.03373174201765429
2018-10-26,323006.88,51363.93,0.2560376676495767,0.047268232215031916
2018-10-27,307977.46,36931.42,0.24412430641428076,0.033986553143244176
2018-10-28,396998.6,27507.73,0.31468863946225306,0.02531429681000655
2018-10-29,466726.64,16351.64,0.36995992263546723,0.015047779961864375
2018-10-30,622104.51,43396.57,0.49312320460382386,0.03993617988529864
2018-10-31,397151.7,77923.94,0.3148099971463902,0.07171037907399637
2018-11-01,224349.29,44823.76,0.1778348156250991,0.04124956747723274
2018-11-02,258207.55,55209.28,0.20467322204255048,0.0508069586471424
2018-11-03,100882.05,56664.45,0.07996611338343004,0.052146095147646704
2018-11-04,141724.9,22644.7,0.11234099051967406,0.020839038952816368
2018-11-05,164573.47,44858.72,0.13045235264275976,0.0412817398090274
2018-11-06,194391.03,70141.09,0.15408781984210027,0.06454812413955577
2018-11-07,208571.62,79705.87,0.1653283395161546,0.0733502201264807
2018-11-08,123837.08,43139.49,0.09816186309014237,0.03969959913421826
2018-11-09,182064.21,34561.32,0.14431672690954056,0.031805442056673364
2018-11-10,391026.86,35827.66,0.3099550239386157,0.03297080563347101
2018-11-11,429814.1,42638.89,0.3407004819429912,0.0392389163740236
2018-11-12,279144.81,41273.13,0.22126954722724246,0.03798206042803189
2018-11-13,396377.69,22645.12,0.31419646310916644,0.020839425462523282
2018-11-14,172701.1,48423.23,0.13689487618504076,0.04456202008378058
2018-11-15,145947.65,43056.78,0.11568823520086242,0.039623484329792166
2018-11-16,318343.18,75010.37,0.25234089539934684,0.06902913362928934
2018-11-17,385667.18,79955.08,0.3057065696439329,0.07357955842186246
2018-11-18,301090.95,68166.77,0.23866558070959765,0.06273123403346806
2018-11-19,569407.45,18587.64,0.4513518580170582,0.017105484020584403
2018-11-20,663557.5,22208.96,0.525981721043787,0.020438044334503906
2018-11-21,306448.2,16326.32,0.24291210881765435,0.01502447894810463
2018-11-22,123003.37,21680.85,0.09750100669012968,0.019952045188506306
2018-11-23,81518.95,29969.83,0.06461757665113034,0.027580071927615937
2018-11-24,90714.69,16344.82,0.07190675829924856,0.015041503780433037
2018-11-25,105419.44,22284.12,0.08356276356257332,0.02050721116681759
2018-11-26,190519.67,11137.43,0.15101911125907608,0.010249344774020659
2018-11-27,85554.36,15752.34,0.06781632264814991,0.014496267420544648
2018-11-28,422056.48,35113.58,0.3345512540029804,0.032313665510818594
2018-11-29,577905.34,31518.81,0.4580878753289578,0.029005538131943374
2018-11-30,351390.8,12409.5,0.27853673229969245,0.011419981447534068
2018-12-01,346251.63,26902.58,0.2744630695329592,0.024757400740626222
2018-12-02,553772.5,7986.0,0.43895851168394684,0.007349205998630651
2018-12-03,500919.02,17528.03,0.3970631757506579,0.01613036604309767
2018-12-04,417082.2,30231.73,0.33060829449253304,0.027821088337713778
2018-12-05,259434.78,32526.05,0.20564600970227337,0.029932462030022602
2018-12-06,403861.66,10763.51,0.32012877706965975,0.009905240703521287
2018-12-07,682390.43,11542.69,0.5409100082437618,0.01062228983074556
2018-12-08,898026.56,17829.8,0.7118381686166334,0.01640807326751625
2018-12-09,783559.52,11690.02,0.6211036494498875,0.010757871914364173
2018-12-10,750363.81,23424.35,0.594790426139066,0.0215565206028079
2018-12-11,420495.26,18293.13,0.3333137226925394,0.016834457892528215
2018-12-12,123717.84,16924.58,0.09806734519166746,0.015575034417769142
2018-12-13,195915.4,18776.06,0.15529614128539268,0.017278879637196223
2018-12-14,122753.9,9415.25,0.09730325945654586,0.008664489328651045
2018-12-15,181904.97,9108.37,0.1441905022353277,0.008382079569464998
2018-12-16,239300.63,7819.89,0.18968628523415454,0.007196341409545686
2018-12-17,155718.12,12460.14,0.12343298772947779,0.011466583475053558
2018-12-18,259479.09,29750.93,0.2056811328830971,0.027378626749416556
2018-12-19,364045.99,9466.15,0.2885681140809791,0.00871133062408434
2018-12-20,300416.91,17677.36,0.238131289831637,0.016267788649130168
2018-12-21,665855.38,6237.64,0.5278031801896065,0.0057402581148633235
2018-12-22,507328.54,11097.24,0.4021438060813596,0.0102123594761137
2018-12-23,361058.68,9228.01,0.2862001648752338,0.008492179620263416
2018-12-24,292400.29,18545.92,0.23177676051872284,0.017067090723030823
2018-12-25,434603.97,18320.39,0.3444972652905926,0.016859544213029425
2018-12-26,323319.02,23549.92,0.25628509147404804,0.02167207780256348
2018-12-27,210412.58,27094.2,0.16678761216271917,0.02493374119310025
2018-12-28,176081.22,26731.82,0.13957419385522687,0.024600256936928976
2018-12-29,429323.63,10093.14,0.3403117013855861,0.009288325198224263
2018-12-30,524701.19,12104.3,0.4159145740194679,0.011139117727175681
2018-12-31,176126.87,8993.09,0.13961037921303782,0.008275991857528841
